,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_learning_rate_init,param_learning_rate,param_hidden_layer_sizes,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,28.130765199661255,0.5139274120469709,0.18227855364481607,0.014731054101217902,0.001,0.001,constant,"(50,)",0.1,"{'tol': 0.001, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'alpha': 0.1}",0.758540518243522,0.7580342745715678,0.7619627990699768,0.7595125,0.0017448737785407556,15,0.7650797817486359,0.764442277764236,0.7624873439082012,0.7640031344736911,0.0011029713236986945
1,85.60598182678223,30.23568114329937,5.062149286270142,3.7869422785230196,0.001,0.0001,adaptive,"(100,)",0.1,"{'tol': 0.001, 'learning_rate_init': 0.0001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100,), 'alpha': 0.1}",0.7487906401169986,0.7470844114448569,0.7470374259356484,0.7476375,0.000815626426994545,19,0.7531078319239495,0.7505015656347852,0.7456969287883901,0.7497687754490417,0.0030695393154242245
2,63.38099924723307,6.176753694034357,0.15623847643534342,0.012757856411096818,0.001,0.001,adaptive,"(50,)",0.0001,"{'tol': 0.001, 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50,), 'alpha': 0.0001}",0.773990325120936,0.7727715903551206,0.7756881422035551,0.77415,0.0011960149910274706,6,0.828736429602685,0.8269926687041794,0.8164210447369408,0.8240500476812684,0.005441289060581692
3,319.55488499005634,53.93091440242106,6.374557256698608,1.837564559489449,0.001,0.001,constant,"(100,)",0.01,"{'tol': 0.001, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'alpha': 0.01}",0.7805152435594555,0.7740653241834478,0.7813320333008326,0.7786375,0.0032501972326307448,2,0.8265426658916618,0.8329833311458197,0.8320489743878201,0.8305249904751005,0.002841647110826181
4,391.34736013412476,72.1120800616351,0.1666557788848877,0.007365414689883383,0.0001,0.001,constant,"(50,)",0.0001,"{'tol': 0.0001, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'alpha': 0.0001}",0.7666591667604155,0.7632092098848764,0.7674566864171605,0.765775,0.0018432869501602874,10,0.8500178126113288,0.8484615528847055,0.8488956388045149,0.8491250014335163,0.0006557141124322808
5,103.64381853739421,21.808996361090124,2.510239919026693,0.60056754954353,0.001,0.001,constant,"(50,)",0.01,"{'tol': 0.001, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'alpha': 0.01}",0.7778527768402895,0.7754903063711703,0.7807507687692192,0.77803125,0.0021512729362166243,3,0.8136613353833462,0.8130332064575404,0.8116867289158886,0.812793756918925,0.000823719101186278
6,85.94713346163432,28.448874827795386,0.6041244665781657,0.6223894577772106,0.001,0.001,adaptive,"(50,)",0.001,"{'tol': 0.001, 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (50,), 'alpha': 0.001}",0.7756965537930776,0.7736715791052612,0.7759693992349809,0.7751125,0.0010249650428599576,5,0.826636416477603,0.8223332645829037,0.8241365732928339,0.8243687514511135,0.0017644090757909453
7,184.87773609161377,37.97818342238666,0.4687180519104004,0.2872427423071322,0.001,0.001,constant,"(100,)",0.0001,"{'tol': 0.001, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'alpha': 0.0001}",0.7707653654329321,0.7654966812914838,0.7709067726693167,0.76905625,0.002517680704378349,7,0.8640522753267208,0.8728273301708136,0.8564892938838264,0.8644562997937869,0.006676090884952478
8,2317.481168985367,561.5513507414807,2.8070967197418213,1.0925077274874455,0.0001,0.001,adaptive,"(100,)",0.001,"{'tol': 0.0001, 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100,), 'alpha': 0.001}",0.7591592605092436,0.7546218172272846,0.7581939548488712,0.757325,0.0019516579077926337,16,0.8980556128475803,0.9025181407383797,0.8900607492406345,0.8968781676088647,0.005153408820037062
9,234.47323846817017,41.99817482465093,1.26553742090861,0.940813975345238,0.0001,0.001,constant,"(100,)",0.1,"{'tol': 0.0001, 'learning_rate_init': 0.001, 'learning_rate': 'constant', 'hidden_layer_sizes': (100,), 'alpha': 0.1}",0.7611654854314321,0.7610904863689204,0.7680754518862971,0.76344375,0.0032751895269822304,11,0.7703579397371234,0.7699360621003881,0.7692653841826977,0.769853128673403,0.0004498724818287993
10,29.65418513615926,1.1642356681795656,0.21352465947469076,0.007364459352959392,0.001,0.001,adaptive,"(100,)",0.1,"{'tol': 0.001, 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100,), 'alpha': 0.1}",0.7592342595717554,0.7603404957438032,0.7636878421960549,0.7610875,0.001893337075306859,13,0.7671141694635591,0.7683985524909531,0.7644279446506919,0.7666468888684014,0.0016543266548144408
11,616.2501518726349,19.315231632379035,0.2343595822652181,0.012757467078157956,0.0001,0.001,adaptive,"(100,)",0.0001,"{'tol': 0.0001, 'learning_rate_init': 0.001, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100,), 'alpha': 0.0001}",0.7551468106648667,0.7504781190235122,0.755006375159379,0.75354375,0.0021685068021562023,17,0.908761929762061,0.9058837867736673,0.9061199235009563,0.9069218800122282,0.0013046781084207692
